Object ID,Permanent Identifier,Source Feature ID,Source Dataset ID,Source Data Description,Source Originator,Data Security,Distribution Policy,Load Date,Feature Type,Feature Code,Name,Is this a Landmark?,Point Location Type,Administration Type,Building Name Address,Address,City,State,ZIP Code,GNIS ID,Foot ID,Complex_Id,Global ID,x,y,latitude,longitude
1960876,1254b713-b479-4dc8-9ee4-35518894b3b1,,6d89af81-7aff-5381-b964-3d1d04d499d0,740 TNMC Update 12/4/2022,U.S. Geological Survey,5,E4,12/4/2022 0:00,740,74036,Englewood Federal Correctional Institution,2,1,,,9595 W Quincy Ave,Littleton,CO,80123,,,,8febe87e-f36f-4bc5-a50b-a7e055408ae9,-11700297.07,4813896.347,39.63957,-105.105392
1969595,ae3c817a-02bb-4184-8568-e23f5e2c838e,,6d1e7a8f-a779-5ca5-8973-e73bf72faf65,740 TNMC Update 3/22/2021,U.S. Geological Survey,5,E4,3/22/2021 0:00,740,74036,Washington County Justice Center - Jail,2,1,,,26861 US Highway 34,Akron,CO,80720,2736098,,,8e8753b7-908a-4b62-9183-e0f930e7c939,-11487277.86,4889009.533,40.15733710204081,-103.1929888
2004883,eff76a8e-e2ba-45b7-88e6-4124ee25ef22,,8954c4b6-da6d-51fe-b5ca-20bf25a70142,740 TNMC Update 3/5/2021,U.S. Geological Survey,5,E4,3/5/2021 0:00,740,74036,Federal Correctional Complex Florence,2,1,,,5880 Highway 67 South,Florence,CO,81226,,,,6be3902e-5f66-41ec-b01a-d5efe2fe40ea,-11700374.23,4630615.75,38.365505,-105.102822
2011277,fc45b1d8-2d78-4dfb-a2d1-17e8f07816cc,,8a880e7b-89a0-52aa-a6d0-5d7e4818259e,740 TNMC Update 3/1/2017,U.S. Geological Survey,5,E4,3/1/2017 0:00,740,74036,Larimer County Sheriff's Office Jail,2,1,,,2405 Midpoint Drive,Fort Collins,CO,80525,2735557,,,35340739-1aea-4d8f-b2c0-3391752c44ca,-11692252.32,4948272.821,40.5638422,-105.0345356
2014991,1fc1494e-47ec-49f5-baa3-4ad8c896ec02,,8ef82261-475f-535e-a5d1-93f2f8a5dce8,740 TNMC Update 8/25/2019,U.S. Geological Survey,5,E4,8/25/2019 0:00,740,74036,Elbert County Detention Center,2,1,,,751 Ute Avenue,Kiowa,CO,80117,,,,d33c2cae-ae6e-473d-b59b-d876d3c0f433,-11628937.05,4770859.442,39.34619893969849,-104.4635556
2016540,c6de4274-85c8-4291-9351-93adac4ae47b,,b0604219-c2e7-5fce-8b0a-0522373d51b7,740 TNMC Update 9/3/2018,U.S. Geological Survey,5,E4,9/3/2018 0:00,740,74036,Rifle Correctional Center,2,1,,,200 County Road 219,Rifle,CO,81650,2757362,,,15a67ad3-2420-4d91-8914-4b00ee4d82e9,-11997992.87,4815265.941,39.5347023,-107.7831199
2032636,ab90a153-9eab-4272-9f83-e03a665b2601,10475934,597d0555-a0ff-54ad-9f6a-6c500ac1a9c8,740 TNMC Update 1/3/2023,U.S. Geological Survey,5,E4,1/3/2023 0:00,740,74036,Colorado Territorial Correctional Facility,2,1,,,275 US Highway 50,Cañon City,CO,81215,2696647,,,ce006863-7946-403d-9eab-77a67412ebf3,-11716259.3,4641281.173,38.436271,-105.248359
2048742,1cef2139-b973-4893-b0da-5242c1037858,,0b2c72a1-93d6-5275-a255-f99cf63f2d37,740 TNMC Update 12/8/2023,U.S. Geological Survey,5,E4,12/8/2023 0:00,740,74036,Crowley County Correctional Facility,2,1,,,6564 State Highway 96,Olney Springs,CO,81062,2757331,,,be8df830-5d97-4c90-a722-031961b40ba8,-11572472,4601616.595,38.16235966365125,-103.9576818
2051830,8d98eb0f-3582-45fc-827d-54a61bf640ee,,0308ac44-974a-55a9-858f-2b122060404f,740 TNMC Update 4/28/2023,U.S. Geological Survey,5,E4,4/28/2023 0:00,740,74036,Mount View Youth Services Detention Center,2,1,,,7862 West Mansfield Parkway,Lakewood,CO,80235,,,,6b2c33d1-5bc0-4e08-af50-35fbb977dff3,-11698312.72,4814998.644,39.648970071795794,-105.0832109
2054995,f5f5401b-68b8-49f0-b633-aeb34b12da82,,db6334fa-dbf6-5c54-b435-75a63acca0b5,740 TNMC Update 3/5/2021,U.S. Geological Survey,5,E4,3/5/2021 0:00,740,74036,Fremont Correctional Facility,2,1,,,East US Highway 50 and Evans Road,Canon City,CO,81215,2757352,,,57f08589-1941-4e88-b938-35393983cd9d,-11706470.42,4639364.2,38.3999988,-105.2172123
2063933,e35a8a5b-5083-4343-b1f9-e05c70c13769,,21fac00e-70ce-5545-a91e-276682a7ed10,740 TNMC Update 2/14/2023,U.S. Geological Survey,5,E4,2/14/2023 0:00,740,74036,Limon Correctional Facility,2,1,,,49030 State Highway 71 South,Limon,CO,80826,2736090,,,18c45f37-ebfd-4a4d-894e-4d825324566f,-11542771.18,4752943.384,39.265751,-103.684725
